,BRANCH,CIRCULATION_2019,COMPUTER SESSIONS_2019,VISITORS_2019,AVG COMPUTER SESSIONS PER VISITOR_2019,AVG CIRCULATION PER VISITOR_2019,CIRCULATION_2021,COMPUTER SESSIONS_2021,VISITORS_2021,AVG COMPUTER SESSIONS PER VISITOR_2021,AVG CIRCULATION PER VISITOR_2021,AVG WALKING TIME (MIN)
58,Scottsdale,21923.0,10067.0,44514.0,0.22615356966347666,0.4924967425978344,14181.0,5495.0,37432.0,0.14679952981406283,0.3788469758495405,17.69446057880087
59,Sherman Park,7004.0,11353.0,42228.0,0.26885005209813395,0.16586151368760063,2318.0,3919.0,18837.0,0.2080479906566863,0.12305568827307958,13.195839250895409
60,South Chicago,18699.0,26773.0,83093.0,0.3222052399119059,0.22503700672740182,7696.0,8211.0,31336.0,0.26203089098800103,0.24559611947919327,16.175659075448788
61,South Shore,2563.0,2681.0,10690.0,0.25079513564078576,0.23975678203928905,11406.0,11613.0,17501.0,0.6635620821667333,0.6517341866179075,14.65960638533448
62,Sulzer Regional,369530.0,75723.0,358644.0,0.21113694917522668,1.0303532193484346,281183.0,22938.0,175377.0,0.13079252125421234,1.6033060207438832,13.869330896533182
63,Thurgood Marshall,21139.0,28163.0,78209.0,0.3600992213172397,0.27028858571264175,8517.0,10989.0,32164.0,0.34165526675786595,0.26479915433403806,16.205231251215483
64,Toman,50027.0,20386.0,88574.0,0.2301578341273963,0.5648045701898977,23670.0,8543.0,19563.0,0.4366917139498032,1.2099371262076368,14.81913754761622
65,Uptown,90869.0,24818.0,126690.0,0.19589549293551187,0.7172547162364827,67461.0,10636.0,65259.0,0.1629813512312478,1.033742472302671,12.37206557001262
66,Vodak-East Side,30031.0,12337.0,60487.0,0.20396118174153124,0.4964868484137087,18626.0,6663.0,33568.0,0.19849261201143947,0.5548736892278361,15.584611778902447
67,Walker,15678.0,5404.0,32753.0,0.16499251976918144,0.47867370927853936,10541.0,2816.0,12055.0,0.23359601824968892,0.8744089589381999,18.806466930807925
68,West Belmont,65853.0,14739.0,62243.0,0.2367977121925357,1.0579984897900165,35555.0,5227.0,30693.0,0.17029941680513472,1.1584074544684455,14.062661440850713
69,West Chicago Avenue,8812.0,21372.0,73704.0,0.28997069358515143,0.11955931835449908,2684.0,6019.0,8954.0,0.6722135358498995,0.29975429975429974,12.754787613650336
70,West Englewood,13534.0,22055.0,69243.0,0.3185159510708664,0.1954565804485652,3896.0,5998.0,28905.0,0.20750735166926138,0.13478636914028716,15.739352393690638
71,West Lawn,36382.0,14210.0,64959.0,0.21875336750873628,0.5600763558552317,7022.0,2382.0,6719.0,0.35451704122637295,1.04509599642804,14.973094117202317
72,West Loop,59405.0,5765.0,83969.0,0.06865628982124355,0.7074634686610535,45506.0,3179.0,36393.0,0.08735196328964362,1.2504052977220894,11.938743562304596
73,West Pullman,17823.0,26144.0,87708.0,0.2980799927030602,0.20320837323847313,7361.0,9520.0,15932.0,0.5975395430579965,0.46202611097162943,19.417139367255576
74,West Town,59889.0,15214.0,102826.0,0.1479586874914905,0.5824305136833097,45464.0,7276.0,48278.0,0.1507104685363934,0.941712581299971,11.655752180692064
75,"Whitney M. Young, Jr.",21973.0,25752.0,82023.0,0.31396071833510114,0.26788827523987174,8142.0,13462.0,30166.0,0.4462640058343831,0.26990651727109993,15.007914261025356
76,Woodson Regional,59933.0,86153.0,214173.0,0.402258921526056,0.27983452629416405,23328.0,28566.0,55987.0,0.5102255880829478,0.41666815510743566,16.768074136501934
77,Wrightwood-Ashburn,17607.0,12697.0,47353.0,0.2681350706396638,0.37182438282685365,6840.0,4584.0,12274.0,0.3734723806420075,0.5572755417956656,15.063057485610496
