YEAR,BRANCH,MONTH,CIRCULATION,COMPUTER_SESSIONS,VISITORS
2014,Blackstone,78,112996.0,32685.0,124567.0
2014,Brainerd,78,15377.0,23032.0,57173.0
2014,Brighton Park,78,70790.0,25155.0,78415.0
2014,Bucktown-Wicker Park,78,125727.0,25480.0,131628.0
2014,Budlong Woods,78,134406.0,27757.0,154304.0
2014,Canaryville,78,28673.0,16110.0,46053.0
2014,Chicago Bee,78,19872.0,20575.0,61053.0
2014,Chicago Lawn,78,54607.0,28535.0,83922.0
2014,Chinatown,78,104026.0,31940.0,228068.0
2014,Clearing,78,50054.0,14613.0,81799.0
2014,Coleman,78,40207.0,38226.0,105133.0
2014,"Daley, Richard J. - Bridgeport",78,84264.0,25136.0,94117.0
2014,"Daley, Richard M. - W. Humboldt",78,52533.0,67019.0,141116.0
2014,Douglass,78,22865.0,37147.0,119373.0
2014,Dunning,78,74067.0,30234.0,152336.0
2014,Edgebrook,78,107462.0,11110.0,101986.0
2014,Edgewater,78,194415.0,59579.0,195906.0
2014,Gage Park,78,24471.0,14374.0,50849.0
2014,Garfield Ridge,78,69786.0,16379.0,88472.0
2014,Greater Grand Crossing,78,33138.0,33625.0,73434.0
2014,Hall,78,24974.0,31787.0,80641.0
2014,Harold Washington Library Center,78,755189.0,386131.0,1406877.0
2014,Hegewisch,78,35545.0,12488.0,63226.0
2014,Humboldt Park,78,76142.0,43805.0,91119.0
2014,Independence,78,95965.0,23084.0,66164.0
2014,Jefferson Park,78,99639.0,24228.0,102652.0
2014,Jeffery Manor,78,14421.0,20232.0,69267.0
2014,Kelly,78,14163.0,22573.0,69170.0
2014,King,78,36725.0,31780.0,80619.0
2014,Legler Regional,78,18396.0,38014.0,96924.0
2014,Lincoln Belmont,78,164597.0,25209.0,155901.0
2014,Lincoln Park,78,113381.0,27863.0,128311.0
2014,Little Village,78,89523.0,50289.0,143467.0
2014,Logan Square,78,132692.0,34614.0,153357.0
2014,Lozano,78,68087.0,57119.0,171644.0
2014,Manning,78,33834.0,29437.0,103462.0
2014,Mayfair,78,68141.0,21576.0,74554.0
2014,McKinley Park,78,81179.0,24909.0,111008.0
2014,Merlo,78,99051.0,23631.0,110383.0
2014,Mount Greenwood,78,77568.0,16092.0,81734.0
2014,Near North,78,118941.0,27260.0,145752.0
2014,North Austin,78,24046.0,37967.0,81047.0
2014,North Pulaski,78,46920.0,21613.0,69095.0
2014,Northtown,78,118786.0,34097.0,143396.0
2014,Oriole Park,78,93258.0,13320.0,99172.0
2014,Portage-Cragin,78,90457.0,22928.0,89454.0
2014,Pullman,78,21773.0,32862.0,78436.0
2014,Roden,78,68912.0,10616.0,65238.0
2014,Rogers Park,78,136193.0,47189.0,173227.0
2014,Roosevelt,78,71714.0,22832.0,99513.0
2014,Scottsdale,78,46698.0,20609.0,72170.0
2014,Sherman Park,78,13035.0,28878.0,70749.0
2014,South Chicago,78,40343.0,34884.0,99358.0
2014,South Shore,78,47425.0,46309.0,118945.0
2014,Sulzer Regional,78,490667.0,123563.0,485942.0
2014,Thurgood Marshall,78,35971.0,54947.0,131875.0
2014,Toman,78,86599.0,44464.0,74783.0
2014,Uptown,78,88574.0,31307.0,146465.0
2014,Vodak-East Side,78,52719.0,33953.0,88817.0
2014,Walker,78,30576.0,15646.0,61004.0
2014,West Belmont,78,93990.0,25081.0,115403.0
2014,West Chicago Avenue,78,20629.0,33757.0,96703.0
2014,West Englewood,78,22214.0,39547.0,122965.0
2014,West Lawn,78,72153.0,24545.0,97240.0
2014,West Pullman,78,30407.0,38119.0,86807.0
2014,West Town,78,92772.0,41724.0,136774.0
2014,"Whitney M. Young, Jr.",78,31993.0,44724.0,115750.0
2014,Woodson Regional,78,105925.0,147440.0,328740.0
2014,Wrightwood-Ashburn,78,36329.0,22569.0,81744.0
2015,Albany Park,78,133366.0,37114.0,153751.0
2015,Altgeld,78,6382.0,23460.0,58248.0
2015,Archer Heights,78,82792.0,25070.0,108588.0
2015,Austin,78,22442.0,19728.0,79000.0
2015,Austin-Irving,78,122335.0,20598.0,110694.0
2015,Avalon,78,49109.0,43698.0,111994.0
2015,Back of the Yards,78,46855.0,28460.0,65541.0
2015,Beverly,78,64542.0,28449.0,99833.0
2015,Bezazian,78,117706.0,34495.0,135725.0
2015,Blackstone,78,101183.0,26835.0,114142.0
2015,Brainerd,78,14542.0,20515.0,50951.0
2015,Brighton Park,78,66829.0,20244.0,73786.0
2015,Bucktown-Wicker Park,78,124088.0,21770.0,120481.0
2015,Budlong Woods,78,107754.0,23510.0,131779.0
2015,Canaryville,78,22869.0,13894.0,46114.0
2015,Chicago Bee,78,18805.0,17572.0,66538.0
2015,Chicago Lawn,78,44938.0,24937.0,71913.0
2015,Chinatown,65,93077.0,25822.0,194063.0
2015,Clearing,78,48062.0,14102.0,78399.0
2015,Coleman,78,40712.0,33660.0,97525.0
2015,"Daley, Richard J. - Bridgeport",78,83127.0,24115.0,91527.0
2015,"Daley, Richard M. - W. Humboldt",78,41193.0,52177.0,125056.0
2015,Douglass,78,19617.0,28489.0,105992.0
2015,Dunning,78,64074.0,24142.0,138540.0
2015,Edgebrook,78,103432.0,11204.0,96146.0
2015,Edgewater,78,186613.0,56627.0,190385.0
2015,Gage Park,78,22602.0,12002.0,46106.0
2015,Garfield Ridge,78,65412.0,15907.0,78562.0
2015,Greater Grand Crossing,78,27683.0,27436.0,48990.0
2015,Hall,78,20255.0,23294.0,67517.0
2015,Harold Washington Library Center,78,694528.0,349634.0,1293976.0
2015,Hegewisch,78,31759.0,11376.0,58666.0
2015,Humboldt Park,78,76278.0,36327.0,92710.0
2015,Independence,55,70943.0,15775.0,65153.0
2015,Jefferson Park,78,95066.0,23460.0,95539.0
2015,Jeffery Manor,78,11663.0,15105.0,72326.0
2015,Kelly,78,12921.0,18574.0,61921.0
2015,King,78,33625.0,26787.0,73038.0
2015,Legler Regional,78,15884.0,30771.0,87848.0
2015,Lincoln Belmont,78,151626.0,20562.0,149576.0
2015,Lincoln Park,78,104515.0,25578.0,121396.0
2015,Little Village,78,78186.0,48605.0,138219.0
2015,Logan Square,78,127480.0,31692.0,145077.0
2015,Lozano,78,62690.0,45087.0,149543.0
2015,Manning,78,33295.0,26732.0,110116.0
2015,Mayfair,78,54234.0,15666.0,61646.0
2015,McKinley Park,78,72635.0,19914.0,97104.0
2015,Merlo,78,91474.0,21333.0,108022.0
2015,Mount Greenwood,75,62310.0,11091.0,65598.0
2015,Near North,78,110292.0,29808.0,141469.0
2015,North Austin,78,21804.0,30578.0,69178.0
2015,North Pulaski,78,44186.0,19910.0,65016.0
2015,Northtown,78,108104.0,28337.0,127941.0
2015,Oriole Park,78,87674.0,11615.0,87813.0
2015,Portage-Cragin,78,83419.0,23509.0,89481.0
2015,Pullman,78,17280.0,28747.0,70647.0
2015,Roden,78,70980.0,9525.0,71517.0
2015,Rogers Park,78,129316.0,40657.0,167983.0
2015,Roosevelt,78,64809.0,21336.0,95037.0
2015,Scottsdale,78,40221.0,16745.0,64392.0
2015,Sherman Park,78,11559.0,26155.0,70100.0
2015,South Chicago,78,34270.0,31110.0,90234.0
2015,South Shore,78,41383.0,39281.0,110308.0
2015,Sulzer Regional,78,454520.0,109565.0,436977.0
2015,Thurgood Marshall,78,32661.0,42371.0,112840.0
2015,Toman,78,78780.0,38496.0,108732.0
2015,Uptown,78,87694.0,29764.0,139932.0
2015,Vodak-East Side,78,51649.0,26912.0,85304.0
2015,Walker,78,26952.0,13798.0,58754.0
2015,West Belmont,78,85968.0,26203.0,116149.0
2015,West Chicago Avenue,78,17285.0,27191.0,79053.0
2015,West Englewood,78,20104.0,35805.0,133046.0
2015,West Lawn,78,67124.0,23352.0,87815.0
2015,West Pullman,78,27604.0,36430.0,84450.0
2015,West Town,78,82789.0,38775.0,132616.0
2015,"Whitney M. Young, Jr.",78,27729.0,38827.0,100223.0
2015,Woodson Regional,78,91916.0,128258.0,331842.0
2015,Wrightwood-Ashburn,78,31962.0,22995.0,72437.0
2016,Albany Park,78,135858.0,37025.0,159397.0
2016,Altgeld,78,5864.0,18826.0,57479.0
2016,Archer Heights,78,75818.0,23467.0,107323.0
2016,Austin,78,21272.0,18288.0,81643.0
2016,Austin-Irving,78,118020.0,20279.0,114892.0
2016,Avalon,78,47702.0,42512.0,113351.0
2016,Back of the Yards,78,39502.0,26560.0,65749.0
2016,Beverly,78,62264.0,28508.0,99236.0
2016,Bezazian,78,115177.0,34219.0,134856.0
2016,Blackstone,78,100420.0,22964.0,106539.0
2016,Brainerd,78,13258.0,17702.0,49623.0
2016,Brighton Park,78,59178.0,19930.0,77799.0
2016,Bucktown-Wicker Park,78,123454.0,20161.0,132858.0
2016,Budlong Woods,78,102830.0,20714.0,128215.0
2016,Canaryville,78,22528.0,10702.0,40898.0
2016,Chicago Bee,78,15002.0,15699.0,70823.0
2016,Chicago Lawn,78,37448.0,21623.0,70571.0
2016,Chinatown,78,139865.0,44289.0,297123.0
2016,Clearing,78,41732.0,13047.0,73645.0
2016,Coleman,78,42340.0,32764.0,91661.0
2016,"Daley, Richard J. - Bridgeport",78,74356.0,19286.0,81841.0
2016,"Daley, Richard M. - W. Humboldt",78,42352.0,45310.0,101958.0
2016,Douglass,78,19343.0,22653.0,86615.0
2016,Dunning,78,63134.0,20118.0,129377.0
2016,Edgebrook,78,102567.0,11177.0,97410.0
2016,Edgewater,78,184583.0,52995.0,221324.0
2016,Gage Park,78,21873.0,11078.0,39975.0
2016,Garfield Ridge,78,61834.0,13922.0,79082.0
2016,Greater Grand Crossing,78,25993.0,25192.0,35164.0
2016,Hall,78,15817.0,19960.0,65850.0
2016,Harold Washington Library Center,78,670077.0,316571.0,1353311.0
2016,Hegewisch,78,28835.0,10142.0,56252.0
2016,Humboldt Park,78,70210.0,29793.0,103298.0
2016,Jefferson Park,78,95365.0,20853.0,94520.0
2016,Jeffery Manor,78,12344.0,15694.0,72488.0
2016,Kelly,78,11307.0,14939.0,65400.0
2016,King,78,32994.0,25912.0,74422.0
2016,Legler Regional,78,16029.0,30166.0,94804.0
2016,Lincoln Belmont,78,156842.0,19398.0,157871.0
2016,Lincoln Park,78,111387.0,20102.0,139486.0
2016,Little Village,78,68243.0,39754.0,126527.0
2016,Logan Square,78,127151.0,28085.0,143684.0
2016,Lozano,78,61126.0,38961.0,145739.0
2016,Manning,78,31008.0,23676.0,95736.0
2016,Mayfair,78,59682.0,15589.0,64195.0
2016,McKinley Park,78,73007.0,16946.0,86478.0
2016,Merlo,78,96756.0,18758.0,119782.0
2016,Mount Greenwood,78,68918.0,13336.0,77892.0
2016,Near North,78,114311.0,24497.0,146322.0
2016,North Austin,78,19702.0,24019.0,62132.0
2016,North Pulaski,78,45763.0,18730.0,64251.0
2016,Northtown,78,100530.0,23619.0,123908.0
2016,Oriole Park,78,79077.0,9662.0,83670.0
2016,Portage-Cragin,78,86307.0,23229.0,91331.0
2016,Pullman,78,16344.0,22962.0,66882.0
2016,Roden,78,73599.0,8902.0,80703.0
2016,Rogers Park,78,131222.0,38191.0,174415.0
2016,Roosevelt,78,62700.0,18956.0,88668.0
2016,Scottsdale,78,35488.0,15782.0,58854.0
2016,Sherman Park,78,10521.0,20649.0,65626.0
2016,South Chicago,78,30219.0,28978.0,102781.0
2016,South Shore,78,38129.0,37601.0,102085.0
2016,Sulzer Regional,78,412021.0,88779.0,373089.0
2016,Thurgood Marshall,78,31240.0,37540.0,98929.0
2016,Toman,78,70387.0,33308.0,113103.0
2016,Uptown,78,87270.0,28007.0,138198.0
2016,Vodak-East Side,78,49351.0,22282.0,82816.0
2016,Walker,78,23499.0,11226.0,57463.0
