lib_name,total_population,total_male,total_female,under_5_years,over_18_years,over_65_years,white,black,native,asian,islander,other_race,more_one_race,latino,housing_units_dp5,num_households_dp2,pop_in_households,pop_in_households_child,pop_enrolled,college_graduates,tot_pop_birth_native,tot_pop_birth_foreign,speaks_english_only,speaks_english_less_very_well,comp_tot_households,comp_tot_households_pc,comp_tot_households_internet,work_from_home,hh_social_security,hh_foodstamps_snap,occupied_units,occupied_units_owner,occupied_units_no_vehicle,rent_burdened_unit_mortgage,rent_burdened_unit_no_mortgage,median_age,perc_hh_w_children,avg_household_size,avg_family_size,unemployment_rate,median_hh_income_d,average_hh_income_d,per_capita_income_d,perc_fam_bellow_poverty,perc_ppl_bellow_poverty,median_owner_cost_unit_mortgage_d,median_owner_cost_unit_no_mortgage_d,occupied_median_rent_d,share_men,share_women
Portage-Cragin,63551.0,30869.0,32682.0,4249.0,48040.0,7118.0,31880.0,1844.0,555.0,2052.0,9.0,18961.0,8250.0,44802.0,21807.0,19856.0,63458.0,20347.0,16008.0,9132.0,40254.0,23297.0,16090.0,19591.0,19856.0,18080.0,16251.0,1813.0,5133.0,3277.0,19856.0,10251.0,2502.0,1665.0,668.0,35.55333333333333,37.526666666666664,3.1766666666666667,3.858,5.126666666666667,66561.8,82747.06666666667,27384.666666666668,10.873333333333333,13.633333333333333,2095.4666666666667,762.3333333333334,1137.2,0.48573586568268007,0.51426413431732
Pullman,20074.0,9507.0,10567.0,1101.0,15640.0,3124.0,1758.0,17100.0,57.0,15.0,0.0,769.0,375.0,1757.0,9489.0,7161.0,19676.0,7317.0,4694.0,2849.0,19180.0,894.0,17380.0,757.0,7161.0,6051.0,5068.0,473.0,2323.0,2823.0,7161.0,3100.0,2311.0,550.0,308.0,37.48571428571428,30.74285714285714,2.7357142857142853,3.567142857142857,21.857142857142858,39430.857142857145,51479.57142857143,20561.714285714286,22.82857142857143,26.97142857142857,1285.5714285714287,564.8571428571429,1035.5714285714287,0.4735976885523563,0.5264023114476437
Roden,31027.0,14927.0,16100.0,2211.0,24334.0,5565.0,26384.0,396.0,48.0,979.0,0.0,1229.0,1991.0,4936.0,13034.0,12345.0,30552.0,9799.0,6963.0,10664.0,27030.0,3997.0,22341.0,2025.0,12345.0,10955.0,10300.0,1484.0,3405.0,699.0,12345.0,8959.0,1335.0,1052.0,373.0,40.78333333333333,29.3,2.526666666666667,3.1733333333333333,3.25,101840.83333333333,129399.5,51929.333333333336,5.183333333333334,6.616666666666666,2512.3333333333335,922.1666666666666,1237.8333333333333,0.4810971089696071,0.5189028910303929
Rogers Park,53537.0,26404.0,27133.0,3700.0,43316.0,5365.0,24353.0,15328.0,254.0,3661.0,7.0,5387.0,4547.0,11448.0,26394.0,23654.0,51262.0,13237.0,13251.0,17177.0,37287.0,16250.0,30318.0,8426.0,23654.0,22335.0,20256.0,3722.0,3578.0,3975.0,23654.0,7096.0,8644.0,1114.0,298.0,36.836363636363636,20.963636363636365,2.1863636363636365,3.2018181818181817,5.29090909090909,52730.09090909091,70715.27272727272,33020.818181818184,14.854545454545455,19.70909090909091,1750.6363636363637,772.1818181818181,1131.2727272727273,0.4931916244840017,0.5068083755159983
Scottsdale,34851.0,17837.0,17014.0,1899.0,25003.0,3417.0,12452.0,8913.0,426.0,310.0,0.0,9203.0,3547.0,21659.0,10577.0,10110.0,34834.0,13719.0,10430.0,3326.0,26508.0,8343.0,14572.0,6127.0,10110.0,9348.0,8702.0,626.0,2548.0,1508.0,10110.0,8540.0,745.0,1394.0,370.0,34.166666666666664,45.550000000000004,3.4466666666666668,4.0183333333333335,9.983333333333333,73717.0,83422.0,25237.833333333332,10.783333333333333,13.933333333333332,1599.0,579.8333333333334,1344.8333333333333,0.5118074086826777,0.4881925913173223
Sherman Park,14258.0,6664.0,7594.0,838.0,11269.0,2288.0,1990.0,10121.0,71.0,36.0,41.0,1439.0,560.0,3788.0,7476.0,5552.0,14013.0,4224.0,3166.0,1022.0,12482.0,1776.0,9979.0,1621.0,5552.0,4518.0,4032.0,200.0,1771.0,2414.0,5552.0,1875.0,1930.0,260.0,275.0,36.40909090909091,32.836363636363636,2.5245454545454544,3.5845454545454545,17.400000000000002,31819.272727272728,43333.09090909091,18493.727272727272,28.818181818181817,31.545454545454547,1480.2,550.0909090909091,860.8181818181819,0.46738673025669797,0.532613269743302
South Chicago,20902.0,9986.0,10916.0,1432.0,15517.0,3473.0,5530.0,9607.0,214.0,121.0,0.0,4233.0,1197.0,10315.0,9639.0,7483.0,20772.0,7053.0,5516.0,2079.0,16692.0,4210.0,10478.0,3568.0,7483.0,6405.0,5994.0,385.0,2544.0,2759.0,7483.0,3200.0,2607.0,530.0,458.0,37.1125,32.175,2.8537500000000002,3.78375,14.6,39918.875,52674.875,19503.375,19.475,28.8875,1214.857142857143,545.5,888.875,0.477753325040666,0.5222466749593341
South Shore,52659.0,23847.0,28812.0,3606.0,41548.0,7804.0,2446.0,48476.0,19.0,329.0,26.0,530.0,833.0,1615.0,29666.0,24498.0,51686.0,15025.0,10951.0,9273.0,50427.0,2232.0,45872.0,1292.0,24498.0,21684.0,20100.0,1720.0,5670.0,8841.0,24498.0,6344.0,9932.0,1136.0,427.0,38.82,23.413333333333334,2.2053333333333334,3.3286666666666664,15.906666666666666,39182.066666666666,56869.8,27512.933333333334,24.540000000000003,29.746666666666666,1857.6,624.8,978.0666666666667,0.4528570614709736,0.5471429385290264
Sulzer Regional Library,52915.0,26182.0,26733.0,3683.0,42193.0,4519.0,40358.0,1191.0,94.0,3408.0,122.0,3388.0,4354.0,9604.0,25559.0,23095.0,52806.0,12784.0,10722.0,28382.0,45290.0,7625.0,38311.0,3913.0,23095.0,22295.0,21280.0,6908.0,3062.0,1135.0,23095.0,10528.0,4785.0,1294.0,375.0,36.29333333333333,25.1,2.252666666666667,3.034,4.333333333333333,100054.46666666666,145528.33333333334,65017.8,2.9866666666666664,5.706666666666666,3048.133333333333,1144.4285714285713,1421.8666666666666,0.4947935368043088,0.5052064631956912
Thurgood Marshall,41853.0,19834.0,22019.0,3825.0,30519.0,6772.0,724.0,39225.0,69.0,178.0,0.0,829.0,828.0,1695.0,20081.0,15508.0,41727.0,15093.0,9818.0,4012.0,40795.0,1058.0,36333.0,678.0,15508.0,13210.0,11076.0,1024.0,5521.0,6192.0,15508.0,6067.0,5214.0,1023.0,454.0,36.0,31.766666666666666,2.7746666666666666,3.658,20.066666666666666,35319.26666666667,49890.2,19287.733333333334,26.986666666666668,30.4,1418.0666666666666,607.0,1017.2666666666667,0.4738967338064177,0.5261032661935823
