lib_name,total_population,total_male,total_female,under_5_years,over_18_years,over_65_years,white,black,native,asian,islander,other_race,more_one_race,latino,housing_units_dp5,num_households_dp2,pop_in_households,pop_in_households_child,pop_enrolled,college_graduates,tot_pop_birth_native,tot_pop_birth_foreign,speaks_english_only,speaks_english_less_very_well,comp_tot_households,comp_tot_households_pc,comp_tot_households_internet,work_from_home,hh_social_security,hh_foodstamps_snap,occupied_units,occupied_units_owner,occupied_units_no_vehicle,rent_burdened_unit_mortgage,rent_burdened_unit_no_mortgage,median_age,perc_hh_w_children,avg_household_size,avg_family_size,unemployment_rate,median_hh_income_d,average_hh_income_d,per_capita_income_d,perc_fam_bellow_poverty,perc_ppl_bellow_poverty,median_owner_cost_unit_mortgage_d,median_owner_cost_unit_no_mortgage_d,occupied_median_rent_d,share_men,share_women
Sherman Park,31095.0,14607.0,16488.0,1646.0,24177.0,4372.0,4196.0,19564.0,447.0,88.0,41.0,3810.0,2949.0,10026.0,13779.0,11449.0,30850.0,9981.0,7907.0,3113.0,26528.0,4567.0,20244.0,3831.0,11449.0,9829.0,8911.0,725.0,3699.0,4264.0,11449.0,5365.0,3212.0,1165.0,342.0,36.24285714285714,33.07142857142857,2.5964285714285715,3.5949999999999998,17.3,34635.642857142855,48222.71428571428,20010.0,27.849999999999998,30.228571428571428,1565.8461538461538,576.2142857142857,889.2142857142857,0.46975397973950794,0.5302460202604921
South Chicago,56596.0,26029.0,30567.0,3667.0,41774.0,8278.0,17158.0,25641.0,478.0,263.0,0.0,8567.0,4489.0,27098.0,23917.0,19762.0,56443.0,20516.0,15523.0,6579.0,47288.0,9308.0,30843.0,7582.0,19762.0,17491.0,16506.0,1528.0,5934.0,5986.0,19762.0,10679.0,4784.0,1637.0,856.0,38.005,33.364999999999995,2.8255,3.628,13.459999999999999,46686.55,60399.95,22488.35,18.71,24.275,1373.6842105263158,570.6842105263158,981.6,0.45990882747897377,0.5400911725210262
South Shore,65974.0,29498.0,36476.0,4196.0,52139.0,10266.0,2691.0,61127.0,19.0,361.0,26.0,530.0,1220.0,1936.0,36133.0,29927.0,64990.0,19323.0,14106.0,11944.0,63323.0,2651.0,57987.0,1406.0,29927.0,26476.0,24506.0,2305.0,7405.0,10714.0,29927.0,9034.0,11392.0,1482.0,620.0,39.89090909090909,24.731818181818184,2.286818181818182,3.3286363636363636,15.568181818181818,41891.77272727273,58532.681818181816,27035.454545454544,22.990909090909092,27.777272727272727,1774.8181818181818,626.75,989.9545454545455,0.44711553036044505,0.552884469639555
Sulzer Regional Library,82527.0,40847.0,41680.0,5409.0,66303.0,7460.0,55855.0,4017.0,193.0,4876.0,135.0,8627.0,8824.0,24230.0,39177.0,35126.0,82191.0,20361.0,17363.0,37121.0,66648.0,15879.0,51663.0,10055.0,35126.0,33576.0,31502.0,9058.0,5081.0,2736.0,35126.0,15678.0,7522.0,2398.0,611.0,36.175,25.016666666666666,2.3575,3.141666666666667,4.3999999999999995,91736.75,131310.29166666666,56919.916666666664,6.55,9.758333333333333,2796.7083333333335,1075.0,1368.4166666666667,0.49495316684236673,0.5050468331576332
Thurgood Marshall,68840.0,32395.0,36445.0,4859.0,51655.0,10890.0,2965.0,58809.0,328.0,225.0,0.0,3173.0,3340.0,7922.0,30874.0,24896.0,68703.0,24026.0,16906.0,7780.0,64913.0,3927.0,56474.0,2877.0,24896.0,21679.0,18887.0,1786.0,8772.0,9073.0,24896.0,12165.0,6919.0,2156.0,795.0,37.62083333333333,31.516666666666666,2.7679166666666664,3.6220833333333338,17.920833333333334,41876.875,56130.541666666664,21659.166666666668,22.808333333333334,26.441666666666666,1423.4166666666667,604.1666666666666,1042.608695652174,0.4705839628123184,0.5294160371876816
Toman,65343.0,32487.0,32856.0,4373.0,49269.0,9617.0,22150.0,19154.0,578.0,491.0,73.0,15627.0,7270.0,39942.0,25434.0,22392.0,64315.0,21928.0,16200.0,6673.0,47003.0,18340.0,25398.0,16713.0,22392.0,18792.0,17022.0,993.0,7199.0,5620.0,22392.0,9690.0,5582.0,1938.0,956.0,36.79090909090909,33.22727272727273,2.8822727272727273,3.7036363636363636,13.663636363636364,43108.47619047619,57235.36363636364,20731.590909090908,20.19090909090909,23.29090909090909,1654.3636363636363,606.421052631579,981.0909090909091,0.4971764381800652,0.5028235618199348
Uptown,64502.0,32382.0,32120.0,3108.0,55386.0,6456.0,42203.0,6777.0,189.0,5505.0,7.0,4457.0,5364.0,14387.0,35342.0,31963.0,63539.0,11497.0,12170.0,30133.0,50141.0,14361.0,40644.0,7179.0,31963.0,30684.0,28459.0,7818.0,4698.0,3597.0,31963.0,12050.0,11520.0,1649.0,575.0,33.98888888888889,17.355555555555554,2.1383333333333336,3.0255555555555556,3.6555555555555554,84840.61111111111,127061.38888888889,61194.22222222222,10.155555555555557,14.655555555555557,2690.6111111111113,1073.764705882353,1394.0555555555557,0.5020309447769061,0.49796905522309387
Vodak-East Side,49239.0,22246.0,26993.0,2449.0,38653.0,8256.0,5295.0,39413.0,208.0,157.0,0.0,2637.0,1529.0,8425.0,21385.0,17962.0,48797.0,16764.0,12200.0,8074.0,46181.0,3058.0,39594.0,2328.0,17962.0,16199.0,14831.0,1287.0,5844.0,4696.0,17962.0,11337.0,3012.0,1838.0,575.0,40.77222222222222,30.827777777777776,2.7061111111111114,3.4994444444444444,13.055555555555555,54664.27777777778,65213.944444444445,25476.666666666668,13.394444444444444,17.033333333333335,1356.111111111111,550.0555555555555,1063.8823529411766,0.4517963402993562,0.5482036597006438
Walker,34975.0,16579.0,18396.0,1366.0,27809.0,6471.0,8970.0,24318.0,106.0,211.0,0.0,282.0,1088.0,1216.0,14876.0,13246.0,34308.0,11311.0,8488.0,9408.0,34121.0,854.0,31972.0,280.0,13246.0,12021.0,11187.0,1748.0,4139.0,2241.0,13246.0,9370.0,1570.0,1586.0,474.0,43.375,28.183333333333334,2.6158333333333332,3.3733333333333335,10.674999999999999,73222.66666666667,90719.66666666667,36245.166666666664,9.166666666666666,10.533333333333333,1674.9166666666667,638.4166666666666,1241.7272727272727,0.47402430307362403,0.525975696926376
West Belmont,69739.0,33703.0,36036.0,3540.0,55041.0,7971.0,39609.0,2619.0,581.0,3166.0,37.0,15669.0,8058.0,39020.0,25974.0,23747.0,69285.0,20807.0,17559.0,12480.0,45770.0,23969.0,23622.0,18395.0,23747.0,21737.0,19752.0,2833.0,5380.0,2854.0,23747.0,14690.0,2556.0,3206.0,743.0,37.2625,31.46875,2.95125,3.54,5.66875,68953.5625,86958.625,31028.0,11.25,14.2125,2062.5625,769.1875,1151.625,0.4832733477681068,0.5167266522318932
West Chicago Avenue,66945.0,31872.0,35073.0,4109.0,51418.0,7805.0,16261.0,34154.0,367.0,1562.0,20.0,8017.0,6564.0,22740.0,26334.0,23028.0,66142.0,20882.0,16690.0,9595.0,56274.0,10671.0,42813.0,8820.0,23028.0,20866.0,18678.0,2369.0,5724.0,6740.0,23028.0,9241.0,5903.0,2309.0,404.0,36.095,32.65,2.8825,3.6615,11.165000000000001,49203.0,64992.0,24325.7,23.580000000000002,25.52,1862.55,713.4444444444445,1125.2,0.47609231458660095,0.523907685413399
West Englewood,31303.0,15098.0,16205.0,1479.0,24637.0,5736.0,3114.0,21871.0,395.0,46.0,0.0,3313.0,2564.0,8023.0,13943.0,11442.0,31139.0,10113.0,7084.0,2111.0,27848.0,3455.0,22914.0,2983.0,11442.0,9250.0,8137.0,411.0,4926.0,4637.0,11442.0,5935.0,3453.0,1456.0,547.0,42.55,27.925,2.60875,3.6825,22.89375,29139.875,43556.5,17977.0625,29.83125,33.975,1300.4285714285713,514.6875,979.6875,0.48231798869117976,0.5176820113088202
