Branch,Avg Cycling White,Avg Cycling Black or African American,Avg Cycling: High School or More,Avg Cycling: Bachelors or More,Avg Cycling: Masters or More,Avg Cycling At or Above Poverty,Avg Cycling In Poverty,"Avg Cycling Income: $150,000 to $199,999",Avg Cycling Employed,Avg Cycling Unemployed,Avg Cycling Has Internet Access,Avg Cycling Has No Internet Access
"Daley, Richard J. - Bridgeport",4.0331992324128,4.438771386912527,4.212469140455426,4.038107405809527,3.964657917949508,4.235349249820943,4.4852855296808425,4.002445074193381,4.263048203862943,4.354139909540528,4.251019256062897,4.476108436124977
"Daley, Richard M. - W. Humboldt",4.456110575221216,4.512365896758272,4.420263281226424,4.506290474677968,4.2688993427392905,4.406663879930012,4.5448894676453,3.9407369499252902,4.423306018131728,4.538420323279034,4.397940795725179,4.61683214283351
Douglass,5.188576310346166,4.45160294584411,4.560347264949246,4.744369034228407,4.962332304748411,4.560266435052169,4.534730049185484,5.310334964036246,4.560774234495501,4.499312681073345,4.590702966915692,4.416374944246994
Dunning,9.157510208534134,6.474823065223096,9.079476875576963,9.102494901644754,7.569481968746237,9.281660149334384,9.189747459322836,7.133834938089497,9.332409736389511,8.34596847200263,9.253888428685562,9.38867419934407
Edgebrook,6.696305128733671,6.457066079350357,6.699686916699026,6.565085417819564,6.496250719717502,6.648192441341037,7.3540521594331665,6.181047534782381,6.670235279718951,6.807611193748448,6.62826134951937,7.224372229215811
Edgewater,3.980550732713503,3.4007427027241266,3.853186465184963,3.954748895702669,4.0975937350731,3.848891390007852,3.648147704583349,4.116927231543311,3.8357867844663063,3.5624681931402016,3.8022889220606735,4.01403366035177
Gage Park,3.93244406205409,4.714727686022525,3.9637263038134,3.857852907269701,3.937981336094446,3.9255620889174447,4.004697446894459,4.064535406197855,3.9749581495156794,3.751315165409931,3.9067213157315104,4.066951907866265
Galewood-Mont Clare,5.755585912034448,5.257772252760112,5.652985963020464,6.391144121548736,6.607473886732608,5.534793468951424,4.856261492208932,5.528731887456365,5.504057137340093,5.243519713944572,5.575954360084007,4.815851713519471
Garfield Ridge,5.751247310528993,7.458987985183754,5.746847089410569,5.545316447395532,5.315278411909925,5.810381537948372,6.638571743480471,5.256439737655268,5.862380662601407,5.896518389806701,5.8758396519186125,5.785817683140089
Greater Grand Crossing,5.725906985823936,5.049310327455755,5.060387045324985,5.386362539955138,5.608391075429623,5.073187628087678,5.049997024375896,4.9303562564988574,5.127389829437455,4.792940185419988,5.140993149381868,4.782494799122573
Hall,6.580416133200352,5.367190702742751,5.445784267029181,5.68522084863609,5.971120525753881,5.338655983091052,5.671633435171327,5.615245282782563,5.470358109683411,5.205684543026012,5.337578096542341,5.949599837097893
Harold Washington Library Center,5.796606905372651,5.322632856098188,5.764827224178305,5.838535933238336,6.116456309645293,5.8052041148074665,5.253479937458882,5.891785551600403,5.796854240893336,5.089767734064009,5.319621313116778,6.1361470270897
Hegewisch,14.150799853425706,14.481334244494144,14.174861501461708,14.322408107638672,14.2859484121371,14.203312446043771,14.477252335089426,13.90318796649435,14.217529963387936,14.447191935523463,14.256469998701256,14.119050020231231
Humboldt Park,4.003856790298212,3.986126140968267,3.966196569349159,4.022974979214212,4.011227397974231,3.939926862450199,3.7878152160169503,4.0633880136169696,3.9160176122767534,3.9713597428907264,3.9341499358604857,3.7837263841358864
