,BRANCH,LOCATION,LATITUDE,LONGITUDE,geometry,list of dict
32,Hegewisch,"(41.65927659861025, -87.54881978393514)",41.65927659861025,-87.54881978393514,"POLYGON ((-87.54982 41.662803, -87.554237 41.659277, -87.55347 41.658277, -87.55166 41.657436, -87.54982 41.655639, -87.54882 41.655459, -87.548017 41.656473, -87.54682 41.656387, -87.543701 41.658277, -87.544428 41.659669, -87.54582 41.659983, -87.54682 41.660981, -87.547991 41.661106, -87.54982 41.662803))","[{17031550200: 0.029904483870024964, 17031550100: 0.023835411966612867, 17031838800: 0.0007321213753115538}]"
33,Humboldt Park,"(41.910332307504966, -87.70551941016132)",41.910332307504966,-87.70551941016132,"POLYGON ((-87.704519 41.913723, -87.705519 41.914248, -87.706519 41.913875, -87.708671 41.912484, -87.710834 41.910332, -87.708519 41.908005, -87.706519 41.907035, -87.704519 41.907745, -87.7035 41.907332, -87.70317 41.908332, -87.702519 41.908732, -87.701519 41.908675, -87.700298 41.910332, -87.701101 41.911332, -87.704519 41.913723))","[{17031230900: 0.12373754380734009, 17031230200: 0.35684821767122826, 17031240900: 0.12632538561276802, 17031240800: 0.09114172791288423, 17031230100: 0.8490520504310106, 17031222600: 0.02173127944664607}]"
34,Independence,"(41.95413885986087, -87.7200155607629)",41.95413885986087,-87.7200155607629,"POLYGON ((-87.719016 41.957201, -87.720016 41.956912, -87.722016 41.957973, -87.723823 41.957139, -87.724118 41.954139, -87.723327 41.952827, -87.719016 41.950416, -87.716124 41.951247, -87.714589 41.954139, -87.718016 41.956961, -87.719016 41.957201))","[{17031160900: 0.18714300072757106, 17031160800: 0.08903366079839942, 17031160502: 0.161273156912949, 17031160400: 0.30691219661404506}]"
35,Jefferson Park,"(41.96750826032374, -87.76176748220928)",41.96750826032374,-87.76176748220928,"POLYGON ((-87.761767 41.970621, -87.763003 41.970744, -87.764767 41.970255, -87.765869 41.969508, -87.767333 41.967508, -87.765211 41.965508, -87.762767 41.964104, -87.76114 41.96488, -87.758182 41.964923, -87.757427 41.966508, -87.756083 41.967508, -87.758104 41.969508, -87.761767 41.970621))","[{17031150300: 0.17384402643008792, 17031150200: 0.010656983698055872, 17031110502: 0.3041722263096341}]"
36,Jeffery Manor,"(41.71340053892868, -87.56573413765888)",41.71340053892868,-87.56573413765888,"POLYGON ((-87.565734 41.717417, -87.566734 41.71717, -87.570545 41.714401, -87.571225 41.713401, -87.566734 41.709546, -87.565734 41.709153, -87.560569 41.713401, -87.561734 41.714856, -87.565734 41.717417))","[{17031510200: 0.10290316378747179, 17031510300: 0.10798222704438953}]"
37,Kelly,"(41.78202569697298, -87.63738794358196)",41.78202569697298,-87.63738794358196,"POLYGON ((-87.637388 41.786028, -87.641388 41.783581, -87.642555 41.782026, -87.640928 41.780026, -87.637388 41.778067, -87.634996 41.779634, -87.634594 41.782232, -87.633137 41.783026, -87.637388 41.786028))","[{17031680900: 0.05642707274113446, 17031834800: 0.09355473664721124, 17031834600: 0.1749175325301323}]"
38,King,"(41.83175130060517, -87.61747228078738)",41.83175130060517,-87.61747228078738,"POLYGON ((-87.616472 41.835235, -87.617472 41.835703, -87.618472 41.835608, -87.619472 41.833479, -87.621666 41.831751, -87.622142 41.830751, -87.617472 41.82777, -87.616472 41.8282, -87.615472 41.829833, -87.614472 41.82986, -87.613029 41.830751, -87.612934 41.831751, -87.615202 41.832751, -87.61456 41.833751, -87.616472 41.835235))","[{17031351400: 0.004076648685711744, 17031839600: 0.28994911368025256, 17031351100: 0.1521932883591163, 17031351000: 0.11038052237284161, 17031842000: 0.0008498042345198218, 17031839500: 0.4759318841490327}]"
39,Legler Regional,"(41.87934542742433, -87.72547641315548)",41.87934542742433,-87.72547641315548,"POLYGON ((-87.725476 41.883534, -87.728476 41.881814, -87.730446 41.879345, -87.730266 41.878345, -87.725476 41.875206, -87.721245 41.878114, -87.720486 41.879345, -87.720725 41.880345, -87.725476 41.883534))","[{17031270500: 0.00424193439325651, 17031260700: 0.5002633708701094, 17031260800: 0.5273684290772496, 17031260200: 0.16182385012097686, 17031260100: 0.18097655324744105}]"
40,Lincoln Belmont,"(41.94046531149621, -87.67102536129381)",41.94046531149621,-87.67102536129381,"POLYGON ((-87.670025 41.943963, -87.671025 41.944461, -87.672025 41.944387, -87.67625 41.940465, -87.671025 41.936397, -87.666943 41.938383, -87.666298 41.939465, -87.666943 41.941465, -87.670025 41.943963))","[{17031051200: 0.3008395637942018, 17031051300: 0.03368396545160766, 17031062600: 0.3361914366043795, 17031062700: 0.09693327194552688, 17031062500: 0.9912741218331719, 17031062400: 0.2737109518027255, 17031831900: 0.08261782034098432}]"
41,Lincoln Park,"(41.92540663614013, -87.65806218385674)",41.92540663614013,-87.65806218385674,"POLYGON ((-87.657062 41.928499, -87.658062 41.929256, -87.659062 41.929153, -87.663397 41.925407, -87.660063 41.922405, -87.658062 41.921538, -87.655962 41.922407, -87.652675 41.925407, -87.655062 41.927481, -87.657062 41.928499))","[{17031832500: 0.11643454312299516, 17031071100: 0.010403592380771223, 17031071000: 0.35960438924104876, 17031070600: 9.181081439807243e-05, 17031070500: 0.328644648725752, 17031070400: 0.3642367017851824, 17031070300: 0.011738013171799557}]"
